team_name,year,win_times,sum_score,sum_rebs,sum_assit
MIN,2009,25,8182,3579,1671
MIN,2010,16,8315,3563,1661
MIN,2011,9,5185,2297,1046
MIN,2012,40,8750,3985,1823
MIN,2013,32,8560,3637,1970
MIN,2014,30,8428,3470,1914
MIN,2015,23,8369,3538,1807
MIN,2016,17,5094,1992,1205
NOH,2002,18,3100,1372,701
NOH,2003,49,7575,3569,1817
NOH,2004,23,6949,3270,1601
NOH,2005,28,7484,3331,1662
NOH,2006,38,7691,3416,1496
NOH,2007,47,8119,3584,1660
NOH,2008,55,7940,3205,1710
NOH,2009,44,8132,3396,1700
NOH,2010,42,8380,3417,1855
NOH,2011,29,4945,2088,1055
NOH,2012,26,8404,3777,1955
NOH,2013,34,7952,3477,1762
NOH,2014,36,8442,3528,1763
NOH,2015,39,8149,3509,1806
NOH,2016,20,5170,2158,1132
NYK,1985,11,3087,1309,696
NYK,1986,21,7976,3177,1846
NYK,1987,24,8304,3197,1930
NYK,1988,47,9201,3538,2035
NYK,1989,54,9289,3581,2101
NYK,1990,37,8608,3506,2162
NYK,1991,45,8353,3526,2117
NYK,1992,51,8289,3758,2137
NYK,1993,60,8156,3687,2085
NYK,1994,54,8284,3747,2110
NYK,1995,59,8194,3438,1958
NYK,1996,49,7913,3343,1880
NYK,1997,53,7743,3499,1796
NYK,1998,26,4846,2164,1156
NYK,1999,45,7061,3316,1536
NYK,2000,51,7499,3333,1551
NYK,2001,42,7267,3290,1584
NYK,2002,27,7335,3165,1684
NYK,2003,41,8314,3529,1919
NYK,2004,41,7419,3314,1599
NYK,2005,24,7781,3332,1571
NYK,2006,29,8479,3683,1594
NYK,2007,28,7444,3293,1398
NYK,2008,27,8356,3534,1713
NYK,2009,32,8718,3476,1754
NYK,2010,35,8592,3320,1777
NYK,2011,26,5676,2150,1141
NYK,2012,55,9146,3810,1857
NYK,2013,42,7969,3304,1586
NYK,2014,33,8443,3475,1755
NYK,2015,27,7569,3421,1691
NYK,2016,17,4831,2187,1015
OKC,2008,4,3089,1384,646
OKC,2009,37,8010,3473,1633
OKC,2010,55,8705,3608,1693
OKC,2011,37,5576,2314,1101
OKC,2012,66,9470,3977,1782
OKC,2013,61,8767,3749,1778
OKC,2014,50,8701,3724,1762
OKC,2015,52,8838,3933,1747
OKC,2016,32,5452,2419,1167
ORL,1989,9,3151,1345,681
ORL,1990,16,9109,3790,1980
ORL,1991,30,8406,3507,1739
ORL,1992,28,8036,3381,1767
ORL,1993,44,8952,3650,2078
ORL,1994,57,9062,3716,2186
ORL,1995,57,8774,3465,2142
ORL,1996,47,7858,3257,1899
ORL,1997,52,8193,3438,1801
ORL,1998,24,4649,2167,1087
ORL,1999,48,7438,3484,1681
ORL,2000,40,8072,3609,1732
ORL,2001,44,8356,3635,1850
ORL,2002,47,8281,3363,1792
ORL,2003,32,7783,3325,1607
ORL,2004,28,7523,3220,1510
ORL,2005,33,7831,3478,1512
ORL,2006,42,8350,3486,1606
ORL,2007,44,8211,3473,1651
ORL,2008,55,8368,3366,1615
ORL,2009,57,8209,3531,1579
ORL,2010,57,8498,3599,1660
ORL,2011,34,5296,2321,1086
ORL,2012,46,8721,3970,1940
ORL,2013,18,7829,3477,1805
ORL,2014,26,8200,3560,1783
ORL,2015,31,7792,3409,1725
ORL,2016,16,5136,2142,1205
PHI,1985,19,3381,1420,782
PHI,1986,51,8892,3610,1958
PHI,1987,41,8104,3275,1777
PHI,1988,39,9365,3687,2096
PHI,1989,46,8835,3426,1986
PHI,1990,57,9210,3632,1909
PHI,1991,38,8463,3386,1794
PHI,1992,30,8077,3226,1831
